Count,Instrument 1,Instrument 2,Section,
1,,,Intro 1,1
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
2,,,Intro 1,
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
3,,,Intro 1,2
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
4,,,Intro 1,
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
5,,,Intro 1,3
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
6,,,Intro 1,
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
7,,,Intro 1,4
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
8,,,Intro 1,
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
9,,,Intro 1,5
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
10,,,Intro 1,
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
11,,,Intro 1,6
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
12,,,Intro 1,
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
13,,,Intro 1,7
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
14,,,Intro 1,
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
15,,,Intro 1,8
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
16,,,Intro 1,
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
17,,,Intro 2,9
e,,,Intro 2,
&,,,Intro 2,
a,,,Intro 2,
18,,,Intro 2,
e,,,Intro 2,
&,,,Intro 2,
a,,,Intro 2,
19,,,Intro 2,10
e,,,Intro 2,
&,,,Intro 2,
a,,,Intro 2,
20,,,Intro 2,
e,,,Intro 2,
&,,,Intro 2,
a,,,Intro 2,
21,,,Intro 2,11
e,,,Intro 2,
&,,,Intro 2,
a,,,Intro 2,
22,,,Intro 2,
e,,,Intro 2,
&,,,Intro 2,
a,,,Intro 2,
23,,,Intro 2,12
e,,,Intro 2,
&,,,Intro 2,
a,,,Intro 2,
24,,,Intro 2,
e,,,Intro 2,
&,,,Intro 2,
a,,,Intro 2,
25,,,Intro 2,13
e,,,Intro 2,
&,,,Intro 2,
a,,,Intro 2,
26,,,Intro 2,
e,,,Intro 2,
&,,,Intro 2,
a,,,Intro 2,
27,,,Intro 2,14
e,,,Intro 2,
&,,,Intro 2,
a,,,Intro 2,
28,,,Intro 2,
e,,,Intro 2,
&,,,Intro 2,
a,,,Intro 2,
29,,,Intro 2,15
e,,,Intro 2,
&,,,Intro 2,
a,,,Intro 2,
30,,,Intro 2,
e,,,Intro 2,
&,,,Intro 2,
a,,,Intro 2,
31,,,Intro 2,16
e,,,Intro 2,
&,,,Intro 2,
a,,,Intro 2,
32,,,Intro 2,
e,,,Intro 2,
&,,,Intro 2,
a,,,Intro 2,
33,Crash Cymbal,Bass Drum,Intro 2,17
e,,,Intro 2,
&,,,Intro 2,
a,,,Intro 2,
34,,,Intro 2,
e,,,Intro 2,
&,,,Intro 2,
a,,,Intro 2,
35,,,Intro 2,18
e,,,Intro 2,
&,,,Intro 2,
a,,,Intro 2,
36,,,Intro 2,
e,,,Intro 2,
&,Ride Cymbal,Hi-Hat (Open),Intro 2,
a,Ride Cymbal,Hi-Hat (Open),Intro 2,
37,Ride Cymbal,Hi-Hat (Open),Intro 3,19
e,,,Intro 3,
&,,,Intro 3,
a,,,Intro 3,
38,,,Intro 3,
e,,,Intro 3,
&,,,Intro 3,
a,,,Intro 3,
39,,,Intro 3,20
e,,,Intro 3,
&,,,Intro 3,
a,,,Intro 3,
40,,,Intro 3,
e,,,Intro 3,
&,,,Intro 3,
a,,,Intro 3,
41,Crash Cymbal,Bass Drum,Intro 3,21
e,,,Intro 3,
&,,,Intro 3,
a,,,Intro 3,
42,,,Intro 3,
e,,,Intro 3,
&,,,Intro 3,
a,,,Intro 3,
43,,,Intro 3,22
e,,,Intro 3,
&,,,Intro 3,
a,,,Intro 3,
44,,,Intro 3,
e,,,Intro 3,
&,Ride Cymbal,Hi-Hat (Open),Intro 3,
a,Ride Cymbal,Hi-Hat (Open),Intro 3,
45,Ride Cymbal,Hi-Hat (Open),Intro 3,23
e,,,Intro 3,
&,,,Intro 3,
a,,,Intro 3,
46,,,Intro 3,
e,,,Intro 3,
&,,,Intro 3,
a,,,Intro 3,
47,,,Intro 3,24
e,,,Intro 3,
&,,,Intro 3,
a,,,Intro 3,
48,,,Intro 3,
e,,,Intro 3,
&,,,Intro 3,
